RingId,MumId,DadId
4290161,NA,NA
849754,NA,NA
858925,NA,NA
861525,NA,NA
861530,NA,NA
861574,NA,NA
861621,865740,864453
862783,NA,NA
863188,NA,NA
866976,NA,NA
868867,NA,NA
870404,NA,NA
870625,NA,NA
871031,865782,860169
871596,NA,NA
871636,NA,NA
871649,871129,862633
871828,NA,NA
871895,868877,871521
871960,862783,865825
873612,NA,NA
873932,NA,NA
875626,NA,NA
875998,NA,NA
876459,NA,NA
877004,865740,864453
877111,875633,865490
877125,871110,866268
877175,877081,866268
877177,877081,866268
877320,877386,833858
877321,NA,NA
877337,877391,877392
877391,NA,NA
877393,NA,NA
877448,NA,NA
877457,849754,870764
877460,NA,NA
877461,NA,NA
877475,877448,868867
877476,NA,NA
877477,NA,NA
877478,NA,NA
877479,NA,NA
877486,NA,NA
877490,NA,NA
877499,NA,NA
877505,871409,861574
877511,862783,875626
877555,871627,871106
877558,881104,877321
877562,NA,NA
877563,NA,NA
877566,878735,871960
877605,NA,NA
877701,NA,NA
877798,NA,NA
877811,877558,877125
877825,862783,875626
877861,884736,875626
877892,NA,NA
877916,XF0027,XM0036
877919,NA,NA
877920,NA,NA
877921,NA,NA
877922,NA,NA
877924,NA,NA
877925,NA,NA
877926,NA,NA
877932,NA,NA
877938,877819,889017
877940,NA,NA
877941,NA,NA
877943,NA,NA
877944,NA,NA
877945,NA,NA
877952,NA,NA
877953,NA,NA
877954,XF0027,XM0036
877955,NA,NA
877956,877111,NA
877958,877730,868867
877961,NA,NA
877970,NA,NA
877973,877566,877760
878735,NA,NA
880843,NA,NA
881078,NA,NA
881096,NA,NA
881104,NA,NA
881112,NA,NA
881115,NA,NA
881120,NA,NA
881125,NA,NA
881444,NA,NA
881555,NA,NA
881671,NA,NA
881868,NA,NA
883063,XF0085,XM0103
883089,XF0085,XM0103
883554,NA,NA
885898,NA,NA
886258,NA,NA
886872,NA,NA
887023,NA,NA
887211,NA,NA
887234,NA,NA
887328,NA,NA
887435,NA,NA
887558,NA,NA
889010,877337,881671
889016,NA,NA
889017,NA,NA
889023,NA,NA
889035,877919,877761
889038,877919,877761
889061,871141,871344
889063,871141,871344
889095,877941,877942
889131,883554,877922
889135,877924,877334
889168,NA,NA
889169,NA,NA
889170,NA,NA
889171,NA,NA
889175,889168,868867
889176,NA,NA
889179,XF0040,XM0054
889182,877925,877821
889183,877727,877798
889184,877727,877798
889190,NA,NA
889193,NA,NA
889197,889176,877611
889198,889177,871636
889251,NA,NA
889252,NA,NA
889253,NA,NA
889254,NA,NA
889258,877923,877861
889262,877387,871388
889270,NA,NA
889271,NA,NA
889272,881115,861530
889273,NA,NA
889280,XF0040,XM0054
889281,NA,NA
889282,XF0065,877393
889303,889177,871636
889313,NA,NA
889321,871649,870404
889328,877475,877457
889332,877111,889432
889376,877560,889280
889378,877945,877811
889393,NA,NA
889397,877560,889280
889398,889270,877859
889400,880843,889282
889432,XF0065,877393
889449,889281,889012
889485,NA,NA
889503,NA,NA
889504,NA,NA
889507,NA,NA
889509,NA,NA
889526,NA,NA
889527,NA,NA
889529,NA,NA
889540,XF0027,XM0036
889544,NA,NA
889545,NA,NA
889550,NA,NA
889552,NA,NA
889553,NA,NA
889555,NA,NA
889556,NA,NA
889558,XF0012,XM0019
889560,NA,NA
889580,NA,NA
889582,877921,889131
889611,877938,889504
889630,NA,NA
889692,NA,NA
889693,XF0012,XM0019
889732,889558,889377
889735,889550,889359
889746,889540,877175
889771,889296,889182
889778,NA,NA
889804,889678,889398
889840,889560,877393
889971,NA,NA
889984,NA,NA
889992,NA,NA
890305,NA,NA
890406,NA,NA
890813,NA,NA
890841,NA,NA
891245,M011803,M011689
891906,M004209,NA
892212,NA,NA
892465,NA,NA
892521,XF0078,XM0092
892523,XF0078,XM0092
894983,NA,NA
895018,NA,NA
895042,NA,NA
895274,M022700,M011142
895280,M022700,XM0119
895286,M026252,XM0083
895501,NA,NA
895818,NA,NA
896382,NA,NA
896669,NA,NA
897169,NA,NA
897821,NA,NA
898052,NA,NA
898053,NA,NA
898070,889183,889378
898071,889183,889378
898074,889183,889378
898075,883063,896669
898089,889183,889378
898092,889183,889378
898156,877729,886872
898161,889953,889379
898166,889528,866268
898172,898316,889574
898194,889979,898052
898199,877883,889010
898315,NA,NA
898316,NA,NA
898335,877923,877861
898350,885869,890820
898373,889580,889912
898379,889388,877915
898613,NA,NA
898630,NA,NA
898870,898871,NA
898871,NA,NA
898873,NA,NA
898876,NA,NA
898883,NA,NA
898884,NA,NA
898885,NA,NA
898886,892465,877825
898887,889485,877916
898923,NA,NA
898924,NA,NA
898925,889303,871636
899009,889771,889010
899101,NA,NA
EA166300,NA,NA
EA696866,NA,NA
EA711589,NA,NA
M000373,NA,NA
M001167,M032477,NA
M001377,NA,NA
M001542,889804,XM0105
M001624,NA,NA
M001631,889804,NA
M001649,NA,NA
M001670,NA,M005026
M001958,NA,NA
M001989,NA,NA
M003801,NA,NA
M004004,NA,NA
M004171,NA,NA
M004206,XF0076,XM0089
M004207,XF0076,XM0089
M004208,M022998,M026678
M004209,M022998,M026678
M004210,M022998,M026678
M004239,NA,NA
M004351,NA,NA
M004500,M033862,NA
M004777,M001649,NA
M005002,M005170,898313
M005003,M005170,898313
M005013,877475,XM0107
M005025,877475,899009
M005026,XF0089,899009
M005030,M005004,898922
M005093,NA,NA
M005170,898887,889746
M005188,895818,889272
M005214,NA,NA
M005219,898350,898172
M005220,898350,898172
M005221,NA,NA
M005222,898350,898172
M005226,XF0097,877457
M005232,NA,NA
M005235,889507,NA
M005236,NA,NA
M005238,M005235,M005236
M005243,881115,889182
M005264,NA,NA
M005299,NA,NA
M005407,NA,NA
M005413,NA,NA
M005414,NA,NA
M005415,M005482,M005428
M005422,898637,889581
M005424,898637,889581
M005447,M005170,898313
M005448,M005170,M005188
M005452,892465,877825
M005469,NA,NA
M005472,877475,899009
M005473,XF0087,899009
M005482,NA,NA
M005673,898630,M001542
M006151,NA,NA
M006170,NA,NA
M006177,NA,NA
M006413,NA,XM0095
M006459,NA,NA
M006488,XF0071,XM0086
M006491,XF0071,XM0086
M006492,NA,NA
M006922,NA,NA
M008102,M032403,NA
M008108,NA,NA
M010954,896382,M022758
M010956,896382,M022758
M010965,M026253,M022355
M010969,M011803,M022563
M010979,M026255,M020867
M010986,M022389,M022355
M010989,M022696,M010971
M010990,M022696,M010971
M010993,M005469,M026460
M011005,M005170,898313
M011008,M005170,M005188
M011012,M005452,889272
