"name";"key";"decimalLongitude";"decimalLatitude";"country"
"Protea.laurifolia";1212015147;19.10114;-33.62931;"South Africa"
"Protea.laurifolia";1212015363;19.04115;-31.373;"South Africa"
"Protea.laurifolia";1212015345;19.04115;-31.373;"South Africa"
"Protea.laurifolia";1212015372;19.04115;-31.373;"South Africa"
"Protea.laurifolia";685238754;18.875;-33.625;"South Africa"
"Protea.laurifolia";699269103;19.157;-32.6357;"South Africa"
"Protea.laurifolia";699269110;18.9916;-32.13538;"South Africa"
"Protea.laurifolia";462191010;19.625;-32.875;"South Africa"
"Protea.laurifolia";462191008;18.625;-33.125;"South Africa"
"Protea.laurifolia";329093724;22.875;-33.625;"South Africa"
"Protea.laurifolia";462191007;19.375;-32.375;"South Africa"
"Protea.laurifolia";462191006;19.375;-32.875;"South Africa"
"Protea.laurifolia";462191137;19.125;-31.625;"South Africa"
"Protea.laurifolia";462191138;19.125;-31.625;"South Africa"
"Protea.laurifolia";462191002;19.625;-33.875;"South Africa"
"Protea.laurifolia";462191003;19.625;-33.875;"South Africa"
"Protea.laurifolia";462190992;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191061;19.125;-32.625;"South Africa"
"Protea.laurifolia";462191004;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190989;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191050;19.125;-31.875;"South Africa"
"Protea.laurifolia";462191051;19.125;-31.875;"South Africa"
"Protea.laurifolia";462190990;19.875;-33.875;"South Africa"
"Protea.laurifolia";462191027;19.875;-33.875;"South Africa"
"Protea.laurifolia";462191089;19.625;-33.875;"South Africa"
"Protea.laurifolia";462190988;19.625;-32.875;"South Africa"
"Protea.laurifolia";462190993;18.875;-33.125;"South Africa"
"Protea.laurifolia";462191132;18.875;-33.125;"South Africa"
"Protea.laurifolia";462191001;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191156;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190986;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190987;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190984;19.125;-32.375;"South Africa"
"Protea.laurifolia";462191072;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190985;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191005;19.125;-31.375;"South Africa"
"Protea.laurifolia";462191153;18.875;-33.625;"South Africa"
"Protea.laurifolia";1261439295;19.28333;-33.96666;"South Africa"
"Protea.laurifolia";462191084;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190998;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190978;19.375;-33.125;"South Africa"
"Protea.laurifolia";462190974;19.625;-33.625;"South Africa"
"Protea.laurifolia";462190975;20.375;-33.375;"South Africa"
"Protea.laurifolia";462190980;19.125;-31.375;"South Africa"
"Protea.laurifolia";462190977;19.375;-33.375;"South Africa"
"Protea.laurifolia";462190976;19.375;-32.875;"South Africa"
"Protea.laurifolia";462190979;18.875;-32.625;"South Africa"
"Protea.laurifolia";462190981;19.625;-33.875;"South Africa"
"Protea.laurifolia";1261438841;18.71666;-32.11666;"South Africa"
"Protea.laurifolia";1261439464;19.08333;-32.65;"South Africa"
"Protea.laurifolia";1261439117;19.3;-32.71666;"South Africa"
"Protea.laurifolia";1261439208;18.51666;-32.11666;"South Africa"
"Protea.laurifolia";462191101;19.875;-33.625;"South Africa"
"Protea.laurifolia";1261439360;18.93333;-32.15;"South Africa"
"Protea.laurifolia";1261438947;18.86666;-32.41666;"South Africa"
"Protea.laurifolia";1261439374;18.93333;-32.15;"South Africa"
"Protea.laurifolia";1261439211;18.45;-34.01666;"South Africa"
"Protea.laurifolia";462191103;19.125;-33.375;"South Africa"
"Protea.laurifolia";462190973;19.125;-33.375;"South Africa"
"Protea.laurifolia";462191000;19.125;-32.125;"South Africa"
"Protea.laurifolia";462190997;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191104;20.625;-33.375;"South Africa"
"Protea.laurifolia";462190982;20.625;-33.375;"South Africa"
"Protea.laurifolia";462191155;18.875;-31.125;"South Africa"
"Protea.laurifolia";462190972;18.875;-31.125;"South Africa"
"Protea.laurifolia";462191071;18.875;-33.625;"South Africa"
