"x"	"y"	"pres"
"1"	2557747.6	1149726.8	1
"2"	2572499.4	1145503.5	0
"3"	2579100.4	1151800.4	0
"4"	2581301.7	1150300.1	1
"5"	2579838.7	1124770.9	0
"6"	2577011.1	1121328.6	0
"7"	2579304.5	1153215.5	0
"8"	2581699.8	1150900.1	1
"9"	2571298.5	1137897.7	0
"10"	2583602.3	1147106	1
"11"	2564607.9	1133295.2	0
"12"	2580497.4	1127198.7	0
"13"	2580303.3	1151997.1	0
"14"	2580706.3	1127198.4	0
"15"	2570801.2	1135749.7	1
"16"	2566900.2	1135795.4	0
"17"	2578000.1	1127403.4	0
"18"	2573301.2	1143804.4	0
"19"	2567801.5	1142493.6	0
"20"	2578799.6	1123597.1	0
"21"	2557469.5	1147202.4	0
"22"	2568600.9	1124901.6	0
"23"	2568803.1	1140694.6	0
"24"	2577051.3	1151421.4	0
"25"	2571096.7	1120205	0
"26"	2571496.8	1135100.8	1
"27"	2565500	1137700	0
"28"	2572202.5	1141592.7	0
"29"	2581099.6	1141795.4	0
"30"	2569599.4	1122000	0
"31"	2567200.1	1136397.2	0
"32"	2572198.7	1124600.1	0
"33"	2576198.7	1143105.2	1
"34"	2579004.1	1125798.8	0
"35"	2564800.2	1137699.9	1
"36"	2577204.5	1128294.6	0
"37"	2570009.3	1147199	1
"38"	2557146.5	1150027.3	1
"39"	2576503.9	1143002.1	0
"40"	2580719.3	1131179.59999999	0
"41"	2579901.4	1150996.20000001	1
"42"	2578997.8	1124101.3	0
"43"	2577499	1121999.6	0
"44"	2578598.3	1126794.5	0
"45"	2568100.1	1142094.9	0
"46"	2578502.8	1140998.5	1
"47"	2577901.1	1139199.6	1
"48"	2571898.6	1118200.1	0
"49"	2575000.2	1119897.89999999	0
"50"	2578598.4	1151003	0
"51"	2576109.9	1148415	0
"52"	2571572.9	1123826	1
"53"	2577512.9	1143798.5	0
"54"	2569697.1	1121794.8	1
"55"	2580306	1152595.3	1
"56"	2574300	1119800	0
"57"	2574603.9	1122198.4	0
"58"	2580100	1130200	1
"59"	2577997.3	1140799.1	1
"60"	2578500.3	1124402.2	0
"61"	2574582.1	1121850	0
"62"	2569301.9	1141800.9	0
"63"	2578101.7	1140694.5	1
"64"	2578403.1	1139196.5	1
"65"	2568801.8	1142299.3	1
