"x"	"y"	"resp"
"1"	2575013.3311	1122111.5329	0
"2"	2575603.7104	1122200.7868	0
"3"	2575800.8675	1122501.846	0
"4"	2575963.4383	1123411.0226	0
"5"	2576600.9441	1123898.3997	0
"6"	2576974.4669	1123426.2708	1
"7"	2577188.3401	1123302.4174	0
"8"	2576497.1082	1123185.8567	0
"9"	2576145.0562	1122861.8259	1
"10"	2576073.8232	1122944.3345	0
"11"	2579149.7452	1126813.5976	0
"12"	2579299.7442	1127000.0428	0
"13"	2579493.3483	1127048.1838	0
"14"	2579599.8725	1127302.4994	1
"15"	2580699.1588	1127020.2586	0
"16"	2580806.114	1127042.4684	0
"17"	2580735.2118	1126895.3131	0
"18"	2580599.3376	1126794.577	0
"19"	2581000.1666	1126549.972	1
"20"	2581187.6283	1126615.6967	0
"21"	2580927.5688	1126330.8777	0
"22"	2580263.6145	1126292.7062	0
"23"	2580320.3861	1126279.9589	0
"24"	2580380.367	1126279.5304	0
"25"	2580600.1465	1126400.2661	0
"26"	2580699.8035	1126299.8035	1
"27"	2580951.19	1126107.3433	0
"28"	2580927.8202	1126009.7547	0
"29"	2580699.8711	1126000.3996	0
"30"	2580602.1508	1125896.6998	0
"31"	2580384.4975	1126009.667	1
"32"	2580200.4586	1125803.7894	1
"33"	2580000.4961	1125598.5311	1
"34"	2580199.4719	1125400.1569	1
"35"	2580292.0372	1125168.1028	0
"36"	2580097.7917	1125000.7506	0
"37"	2579980.0352	1125113.5502	0
"38"	2579874.5694	1125137.3439	0
"39"	2577999.4345	1124697.538	0
"40"	2578624.075	1124899.5749	0
"41"	2578684.8021	1124961.2664	0
"42"	2578592.8395	1125101.3563	0
"43"	2578352.4442	1125122.9032	1
"44"	2578004.1263	1125329.2256	0
"45"	2577800.6356	1125299.0633	1
"46"	2579001.5163	1125097.9478	0
"47"	2579206.2457	1125077.9729	0
"48"	2579207.6281	1125089.7566	0
"49"	2577349.4261	1124600.8853	0
"50"	2579600.4604	1125797.9382	1
"51"	2579499.2922	1125899.3715	1
"52"	2579300.4247	1125801.8646	0
"53"	2579059.8314	1125383.946	0
"54"	2578924.8455	1125419.5628	0
"55"	2578843.3024	1125479.1874	1
"56"	2578659.1555	1125442.2173	0
"57"	2578501.6669	1125401.3768	0
"58"	2578550.8767	1125700.4893	0
"59"	2578753.6985	1125898.8448	0
"60"	2579099.775	1126315.3689	1
"61"	2574604.5215	1122198.8369	0
"62"	2573712.4702	1120866.6967	0
"63"	2573900.296	1119997.3958	0
"64"	2573101.2873	1119599.2378	0
"65"	2572789.5828	1119198.7523	1
"66"	2572399.1433	1119199.7206	1
"67"	2576115.7258	1134220.9528	0
"68"	2575426.4932	1134601.2075	0
"69"	2574402.1232	1133861.6077	0
"70"	2572950.1338	1134924.3126	0
"71"	2573176.0015	1135108.5807	0
"72"	2573561.2614	1134383.0631	0
"73"	2573299.7525	1134526.8559	0
"74"	2570882.9879	1134939.0235	0
"75"	2570500.8225	1134776.3009	0
"76"	2570899.3078	1135197.8078	0
"77"	2570288.5766	1136046.1258	0
"78"	2570801.0524	1135748.795	0
"79"	2563090.066	1132343.6355	0
"80"	2562926.1778	1133268.9851	0
"81"	2562785.6199	1133273.0194	0
"82"	2563837.7215	1133818.5303	0
"83"	2564766.2013	1133707.0966	0
"84"	2564607.9645	1133294.5335	0
"85"	2564195.3397	1133001.0535	0
"86"	2569772.6763	1134295.7668	0
"87"	2569189.7541	1133408.4336	0
"88"	2565175.1268	1131250.993	0
"89"	2570000.7269	1133871.5243	0
"90"	2569920.8121	1133567.0104	0
"91"	2569382.0189	1133057.6105	0
"92"	2568571.2541	1132128.2863	0
"93"	2570266.7914	1134008.3768	0
"94"	2571195.6408	1133858.1929	0
"95"	2570547.5916	1133547.9567	0
"96"	2570196.9297	1133319.4822	0
"97"	2570524.8045	1133194.9157	0
"98"	2570607.0198	1132299.1146	0
"99"	2571486.2376	1132712.6229	0
"100"	2572622.6892	1133432.9944	0
