"X"	"Y"	"resp"
"1"	2580304.8	1147078.7	0
"2"	2578843.4	1146951	0
"3"	2570749.6	1146998.7	0
"4"	2571199.4	1133859.4	0
"5"	2573297	1122712	0
"6"	2568421.6	1142839.2	0
"7"	2578231.9	1145586.8	0
"8"	2578798	1132072	0
"9"	2560161	1149271	0
"10"	2572682	1125042	0
"11"	2572983	1133784	0
"12"	2561319	1149776	0
"13"	2576651.2	1141850.9	0
"14"	2568125.1	1143349.9	0
"15"	2574025.1	1144176.6	0
"16"	2559727	1148105	0
"17"	2578077	1132564	0
"18"	2570883.7	1134940.3	0
"19"	2569848	1128505	0
"20"	2573345	1146625.1	0
"21"	2572997	1122670	0
"22"	2579233.8	1146350.4	0
"23"	2561307	1146819	0
"24"	2559050	1148603	0
"25"	2575479	1144757	0
"26"	2577175.1	1141324.5	0
"27"	2568019	1143052	0
"28"	2576905.09	1148900	0
"29"	2561475.5	1144725.5	0
"30"	2574649.8	1146625	0
"31"	2573924.6	1146424.8	0
"32"	2573300	1134528	0
"33"	2577525	1148750	0
"34"	2572100	1134650	0
"35"	2562009	1145236	0
"36"	2570871	1147205	0
"37"	2567446	1138626.5	0
"38"	2573769.5	1138667.8	0
"39"	2566360.4	1138988.8	0
"40"	2574024.6	1140198.9	0
"41"	2581075.5	1153701.3	0
"42"	2562151.1	1148075.6	0
"43"	2570469.3	1140698.1	0
"44"	2581123.8	1146675.1	0
"45"	2572858.6	1140980	0
"46"	2566924.1	1139722.5	0
"47"	2576273.4	1144700.4	0
"48"	2564749.3	1136624.1	0
"49"	2572297.5	1126446.6	0
"50"	2570286.3	1136049.6	0
"51"	2562625.6	1146899.8	0
"52"	2570071.3	1142094.2	0
"53"	2573572.4	1136995.4	0
"54"	2578303.6	1148842.6	0
"55"	2568688	1129132	0
"56"	2570875	1121803	0
"57"	2572540.2	1144902.1	0
"58"	2572073	1144176	0
"59"	2563219	1146338	0
"60"	2563896.2	1147901	0
"61"	2574641	1148142.9	0
"62"	2569802.4	1136268.6	0
"63"	2565190.7	1134912.8	0
"64"	2578799.6	1151400.5	0
"65"	2579785.7	1145240.6	0
"66"	2576027.9	1148852.9	0
"67"	2570195	1140281	0
"68"	2565411	1134801	0
"69"	2574339	1120265	0
"70"	2581476.3	1153775.8	0
"71"	2570945.2	1139458.6	0
"72"	2572430.5	1131193.9	1
"73"	2579300	1143526	0
"74"	2569751	1137849.8	1
"75"	2584276	1152723	1
"76"	2565004	1143462	1
"77"	2583994	1152783	0
"78"	2573600	1124274.2	0
"79"	2566926.9	1138078.1	0
"80"	2570972	1121569	0
"81"	2572492.6	1137664	0
"82"	2576317	1139872.7	0
"83"	2581297	1134228	0
"84"	2571125	1136374.6	0
"85"	2583649.2	1151723.5	0
"86"	2575697	1135312	0
"87"	2570375.4	1121675.1	0
"88"	2575927.9	1128449.8	0
"89"	2576497	1123186	0
"90"	2581156.7	1152529.2	0
"91"	2583550	1151349	0
"92"	2564950	1143883	0
"93"	2577761.1	1138756.1	0
"94"	2563673	1134679	0
"95"	2579861	1153041	0
"96"	2578979.2	1144077.2	0
"97"	2581077.6	1151499	0
"98"	2579424.7	1152150.3	0
"99"	2574725	1121175.5	0
"100"	2571275.3	1120623	0
"101"	2578764	1151606	0
"102"	2571291.3	1119649.5	0
"103"	2573894	1118674	0
"104"	2581379.7	1137749.9	1
"105"	2578753.8	1125899.1	0
"106"	2580525.8	1137224.8	0
"107"	2577076.1	1137874.7	1
"108"	2573075.3	1130849	1
"109"	2576974.5	1123426.3	0
"110"	2574207.2	1130257.2	1
"111"	2579550	1152800	0
"112"	2568181	1137004	1
"113"	2578224.5	1126575.1	0
"114"	2568331	1137532	0
"115"	2567397	1135231	0
"116"	2582874	1153225	0
"117"	2582975.2	1153650	0
"118"	2576600.7	1123898.4	1
"119"	2581525	1145327	1
"120"	2570326	1118574.8	0
"121"	2573268.3	1130105.2	0
"122"	2582675.7	1153675.5	1
"123"	2575167	1137251	1
"124"	2576750.7	1129474.4	0
"125"	2578037.2	1138218.7	1
"126"	2567800.8	1137174	1
"127"	2571250.6	1131047.4	1
"128"	2580000	1153749	0
"129"	2565100	1142293	0
"130"	2577349.5	1124601.4	0
"131"	2581550	1141975	0
"132"	2575725	1123575.3	0
"133"	2580599	1142450	0
"134"	2570204.8	1117051.6	0
"135"	2570629.3	1117628.7	0
"136"	2570900.2	1137500.1	1
"137"	2573410.4	1117778	0
"138"	2567773	1136721.7	1
"139"	2578921.2	1137373.2	1
"140"	2582112.9	1145111.3	0
"141"	2577700.1	1127074	0
"142"	2571297.1	1118325.6	0
"143"	2576125	1127300	0
"144"	2573152.8	1117996.8	0
"145"	2578399.3	1126000.6	0
"146"	2578550.1	1125700.3	1
"147"	2566724.3	1135125.3	0
"148"	2577150	1137549	0
"149"	2579281.6	1124630.2	1
"150"	2581176	1136034	0
"151"	2567377.1	1136551.9	1
"152"	2580999.9	1126550.1	0
"153"	2580927.5	1126009.9	1
"154"	2567825.3	1136499.5	0
"155"	2577903.9	1125558.2	1
"156"	2565875	1135599.2	0
"157"	2572902	1120547	0
"158"	2570652.4	1118626.4	0
"159"	2581200.1	1130125.2	1
"160"	2576800	1137648	1
"161"	2570842	1118704.9	0
"162"	2567025	1136049	0
"163"	2575564.1	1136336.5	0
