"X"	"Y"	"resp"
"1"	2557747.6	1149726.8	0
"2"	2572499.4	1145503.5	0
"3"	2579100.4	1151800.4	0
"4"	2581301.7	1150300.1	0
"5"	2579838.7	1124770.9	0
"6"	2577011.1	1121328.6	0
"7"	2579304.5	1153215.5	0
"8"	2581699.8	1150900.1	0
"9"	2571298.5	1137897.7	0
"10"	2583602.3	1147106	0
"11"	2564607.9	1133295.2	0
"12"	2580497.4	1127198.7	0
"13"	2580303.3	1151997.1	0
"14"	2580706.3	1127198.4	0
"15"	2570801.2	1135749.7	0
"16"	2566900.2	1135795.4	0
"17"	2578000.1	1127403.4	0
"18"	2573301.2	1143804.4	0
"19"	2567801.5	1142493.6	0
"20"	2578799.6	1123597.1	0
"21"	2557469.5	1147202.4	0
"22"	2568600.9	1124901.6	0
"23"	2568803.1	1140694.6	0
"24"	2577051.3	1151421.4	0
"25"	2571096.7	1120205	0
"26"	2571496.8	1135100.8	0
"27"	2565500	1137700	0
"28"	2572202.5	1141592.7	0
"29"	2581099.6	1141795.4	0
"30"	2569599.4	1122000	0
"31"	2567200.1	1136397.2	1
"32"	2572198.7	1124600.1	0
"33"	2576198.7	1143105.2	0
"34"	2579004.1	1125798.8	0
"35"	2564800.2	1137699.9	0
"36"	2577204.5	1128294.6	0
"37"	2570009.3	1147199	0
"38"	2557146.5	1150027.3	0
"39"	2576503.9	1143002.1	0
"40"	2580719.3	1131179.59999999	0
"41"	2579901.4	1150996.20000001	0
"42"	2578997.8	1124101.3	0
"43"	2577499	1121999.6	0
"44"	2578598.3	1126794.5	1
"45"	2568100.1	1142094.9	0
"46"	2576999	1121296.8	0
"47"	2578502.8	1140998.5	0
"48"	2577901.1	1139199.6	0
"49"	2571898.6	1118200.1	0
"50"	2575000.2	1119897.89999999	0
"51"	2578598.4	1151003	0
"52"	2576109.9	1148415	0
"53"	2571572.9	1123826	0
"54"	2577512.9	1143798.5	0
"55"	2569697.1	1121794.8	0
"56"	2580306	1152595.3	0
"57"	2574300	1119800	0
"58"	2574603.9	1122198.4	0
"59"	2580100	1130200	0
"60"	2577997.3	1140799.1	0
"61"	2578500.3	1124402.2	1
"62"	2574582.1	1121850	0
"63"	2569301.9	1141800.9	0
"64"	2578101.7	1140694.5	0
"65"	2578403.1	1139196.5	0
"66"	2568801.8	1142299.3	0
"67"	2568127.4	1129100.4	0
"68"	2571400	1117200	0
"69"	2576598.5	1141304.5	0
"70"	2577902.6	1122902.8	0
"71"	2557682.6	1150423.3	0
"72"	2577593.8	1129095.2	0
"73"	2580499	1124512.5	0
"74"	2577300.1	1140801.2	0
"75"	2575139.3	1121032.1	0
"76"	2576098.9	1148048.6	0
"77"	2574897.8	1143394.6	0
"78"	2564295.7	1144405.6	0
"79"	2572092.5	1148403.3	0
"80"	2573900.5	1119998.2	0
"81"	2578400.7	1150498.4	0
"82"	2566805.8	1138599.4	0
"83"	2572898.6	1141798.5	0
"84"	2575297.8	1130796	0
"85"	2572999.6	1147227.6	0
"86"	2577703.7	1128994.6	0
"87"	2571122.5	1124203	0
"88"	2572600	1130000	0
"89"	2576200	1143697.9	0
"90"	2575502.4	1131701.7	0
"91"	2575400.1	1131097.7	0
"92"	2570604.5	1132301.6	0
"93"	2568399.6	1144601.2	0
"94"	2580097.2	1136400.3	0
"95"	2575300	1124700	0
"96"	2580498.5	1137599.3	0
"97"	2557726.2	1147276.1	0
"98"	2569700.8	1124099.4	0
"99"	2562699.6	1134995.7	0
"100"	2576304.5	1132905.7	0
"101"	2579494	1137398.3	0
"102"	2579398.4	1124795.8	0
"103"	2577795.7	1137395.5	0
"104"	2577390.6	1137392.6	0
"105"	2575297.1	1136296.7	0
"106"	2557846.9	1147527.3	0
"107"	2580903.4	1141096.7	0
"108"	2579797.7	1123900.1	0
"109"	2575005.8	1122110.3	0
"110"	2578892.5	1140400.4	0
"111"	2576598	1138495.7	0
"112"	2577800	1125300	0
"113"	2579651.4	1136898	0
"114"	2576899.1	1140897	0
"115"	2572597.3	1133004.7	0
"116"	2560221	1142970.2	0
"117"	2577504	1125410.4	0
"118"	2581406	1131494.1	0
"119"	2581499.8	1131399	0
"120"	2569696.8	1138099.7	0
"121"	2571897.7	1120196.7	0
"122"	2573798.4	1144701.7	0
"123"	2584593.8	1151895.1	0
"124"	2569100	1136100	0
"125"	2579197.2	1135997	0
"126"	2578594	1125100.5	0
"127"	2579101.1	1136303.5	0
"128"	2578699.1	1136499.2	0
"129"	2578076	1136824.3	0
"130"	2568503.8	1137897.2	0
"131"	2556973.9	1147973.5	0
"132"	2571325.6	1123371.5	0
"133"	2581500.1	1146293.7	0
"134"	2578405.1	1136698.7	0
"135"	2574599.1	1147402.6	0
"136"	2569004.4	1138896.9	0
"137"	2582698.6	1152999.7	0
"138"	2572791.1	1130000.99999999	0
"139"	2561243	1143270.6	0
"140"	2576799	1137001.5	0
"141"	2579499.3	1125899.1	0
"142"	2578798.1	1152198.7	0
"143"	2576899.2	1135300.6	0
"144"	2571491.2	1136704.4	0
"145"	2579595.4	1135895.9	0
"146"	2574799.7	1149306	0
"147"	2579202.5	1127099.6	0
"148"	2575302.8	1124296.6	0
"149"	2582903.8	1148008.8	0
"150"	2578798	1136097	0
"151"	2578507.5	1136296	0
"152"	2578508.1	1136447.7	0
"153"	2574896.5	1148994.9	0
"154"	2579695.7	1135690.8	0
"155"	2578501.7	1125401.6	0
"157"	2576401.6	1145594.59999999	0
"158"	2575197.5	1136097.8	0
"159"	2579300	1127000	0
"160"	2578699.1	1135697.9	0
"161"	2578101.7	1136694.6	0
"162"	2579394.5	1127298.5	0
"163"	2578099.9	1136597.5	0
"164"	2556725.4	1149799.5	0
"165"	2581102.6	1147496.4	0
"166"	2572499.3	1142499.1	0
"167"	2578009.1	1135297	0
"168"	2569596.2	1118697.6	0
"169"	2564005.6	1135995.5	0
"170"	2574598.3	1136695.3	0
"171"	2580599	1130604.3	0
"172"	2572599.5	1117600.4	0
"173"	2578901.5	1145897.8	0
"174"	2576392.2	1136900	0
"175"	2581303.3	1129895.4	0
"176"	2582391.8	1131806.9	0
"177"	2575498.4	1119697.79999999	0
"178"	2572399.1	1117203.5	0
"179"	2568343.2	1126100.4	0
"180"	2583295.3	1147897.6	0
"181"	2571300.9	1119198.1	0
"182"	2581994.8	1140302.7	0
"183"	2581989.9	1139903.8	0
"184"	2570696.1	1117995.1	0
"185"	2581598.5	1131499.8	0
"186"	2572099.2	1119498.8	0
"187"	2578801.4	1145697	0
"188"	2577403.4	1137099.6	0
"189"	2575587.4	1119963	0
"190"	2581299	1141190.4	0
"191"	2576997.9	1128702.4	0
"192"	2555900.3	1148998.7	0
"193"	2575600.5	1142398.5	0
"194"	2557699.9	1149446.4	0
"195"	2559759.4	1145948.2	0
"196"	2570601.6	1126399.5	0
"197"	2576073.9	1122944.4	0
"198"	2576144.9	1122862.2	0
"199"	2575963.5	1123411.2	0
"200"	2578685.1	1124961.7	1
"201"	2578624	1124900.8	0
"202"	2578000.8	1124697.2	0
"203"	2579934.6	1124834.3	0
"204"	2578429.1	1126929.7	1
"206"	2568699.4	1126299.1	0
"207"	2578499.4	1146998.9	0
"208"	2577097.3	1132101.7	0
"209"	2570501	1134777.5	0
"210"	2575424.2	1148146.1	0
"211"	2564902.3	1135892.4	0
"212"	2561077.2	1142223.1	0
"213"	2568199.1	1126923.2	0
"214"	2575305	1138001.9	0
"215"	2578097.3	1126797.3	0
"216"	2567494	1129402.2	0
"217"	2568400	1141500	0
"218"	2572202.6	1124701.8	0
"219"	2571511.9	1138702	0
"220"	2568325.9	1130398.8	0
"221"	2577187.2	1123302.2	0
"222"	2558229.8	1148297.1	0
"223"	2569189.5	1133409.8	0
"224"	2572299.3	1120103	0
"225"	2579502.3	1146799.2	0
"226"	2571000	1122800	0
"227"	2567495.4	1138403.1	0
"228"	2575000.6	1145775	0
"229"	2571100.3	1118396.6	0
"230"	2558928	1150370.2	0
"231"	2580001.8	1147096.6	0
"232"	2577503.1	1127204.79999999	0
"233"	2576600	1121200	0
"234"	2572201.4	1133801.8	0
"235"	2573001	1147000.2	0
"236"	2581497.5	1131291.2	0
"237"	2559275.4	1151124	0
"238"	2571098.2	1146497.4	0
"239"	2577501.2	1145595	0
"240"	2571898.9	1133906.8	0
"241"	2575796	1129984.7	0
"242"	2561026.6	1143900.2	0
"243"	2580201.8	1150796.7	0
"244"	2573105.7	1118601.30000001	0
"245"	2573099.5	1119599.49999999	0
"246"	2571051.1	1146399.7	0
"247"	2573103.4	1118598.5	0
"248"	2580700	1126300	0
"249"	2582198.2	1152691.8	0
"250"	2569921	1133567.9	0
"251"	2573199.9	1119600.8	1
"252"	2566766.3	1121184	0
"253"	2576399.9	1128498.4	0
"254"	2567007.6	1119415.6	0
"255"	2575600.6	1138700.5	0
"256"	2580477.5	1143595.9	0
"257"	2566921.6	1119499.3	0
"258"	2567217.1	1119963.1	0
"259"	2564300.4	1147498	0
"260"	2567375.3	1120135.8	0
"261"	2582302.9	1146696.1	0
"262"	2577001.9	1144894.8	0
"263"	2567586.4	1119886.5	0
"264"	2566597.5	1119842.3	0
"265"	2567203.5	1121302.3	0
"266"	2580599.6	1151189.7	0
"267"	2565503.8	1139301.8	0
"268"	2567201.5	1121101.7	0
"269"	2568299.9	1121200.1	0
"270"	2568600.9	1119913.3	0
"271"	2575301.1	1128999.3	0
"272"	2568499.9	1119901.1	0
"273"	2568001.3	1119898.9	0
"274"	2577799.6	1126297.00000001	0
"275"	2567899.8	1119898.4	0
"276"	2567739.3	1119992.1	0
"277"	2568299.9	1119696.4	0
"278"	2568201.9	1119602.4	0
"279"	2567499.3	1119298.9	0
"280"	2565400.3	1144400.3	0
"281"	2569400.3	1131500.1	0
"282"	2567397.1	1119101.8	0
"283"	2575299.8	1121901.7	0
"284"	2567795.9	1120798.4	0
"285"	2566799.5	1120794.1	0
"286"	2555197.8	1146597.1	0
"287"	2555805.8	1146495.9	0
"288"	2556075.3	1145996.9	0
"289"	2556700	1145398.2	0
"290"	2580401.9	1139199.1	0
"291"	2556095.9	1147396.3	0
"292"	2556500.7	1147401.7	0
"293"	2557399.3	1148599	0
"294"	2580198.9	1125401	0
"295"	2556396.8	1146594.9	0
"296"	2581200.3	1137900	0
"297"	2569402.9	1124255.3	0
"298"	2575603.4	1122200.8	0
"299"	2566898.4	1128704.9	0
"300"	2564497.7	1145390	0
"301"	2567033.4	1128733	0
"302"	2575801.8	1122501.7	0
"303"	2561029.3	1142573.3	0
"304"	2574998.5	1121895.7	0
"305"	2559403.6	1144804.3	0
"306"	2558901.4	1144999.9	0
"307"	2574493.8	1120197.7	0
"308"	2558901.9	1145301.7	0
"309"	2559400.1	1144600.6	0
"310"	2559298.5	1146098.9	0
"311"	2575499.6	1140299.8	0
"312"	2580308.3	1125895.5	0
"313"	2561650.3	1144250.7	0
"314"	2569177.4	1146198.70000001	0
"315"	2559399.1	1146299.4	0
"316"	2575701.7	1139799.2	0
"317"	2577104.4	1139798.9	0
"318"	2568401.1	1137500.5	0
"319"	2572002.5	1137399	0
"320"	2572400	1119200	0
"321"	2568600.2	1137699.4	0
"322"	2576400.9	1139495.3	0
"323"	2581495	1141708.9	0
"324"	2572790	1119200	0
"325"	2568898.6	1146093	0
"326"	2581800.3	1139198.9	0
"327"	2578800	1142800	0
"328"	2575699.4	1127700.4	0
"329"	2573599	1118503.8	0
"330"	2564594	1147102.9	0
"331"	2566801	1141197.9	0
"332"	2572501.1	1118104.5	0
"333"	2570525.5	1133196.1	0
"334"	2566274.6	1141005.1	0
"335"	2576801.2	1125097.5	0
"336"	2567797.4	1136197.1	0
"337"	2567699.5	1135898.8	0
"338"	2571502.8	1137302.4	0
"339"	2564297.7	1142001.5	0
"340"	2564401.8	1142100	0
"341"	2571899.5	1117300.20000001	0
"343"	2569946.4	1145602.9	0
"344"	2583702.1	1145787.8	0
"345"	2563095.1	1148098.7	0
"346"	2565777	1140310.9	0
"347"	2564498.7	1147097.7	0
"348"	2572399	1130099.6	0
"349"	2568001.2	1137391.3	0
"350"	2571998.1	1117500.9	0
"351"	2573528	1145101.4	0
"352"	2571003.5	1146493.3	0
"353"	2579801.1	1125899.6	0
"354"	2580200.6	1125803.9	0
"355"	2579299.8	1125801.8	0
"356"	2579600.8	1135998.8	0
"358"	2579599.3	1126198.6	0
"359"	2580600	1126400.7	0
"360"	2566496.5	1134101.5	0
"361"	2572700.4	1145900.5	0
"362"	2578200	1123100	0
"363"	2580101.4	1125999.7	0
"364"	2581600.9	1135899.4	0
"365"	2579498.5	1126100.5	0
"366"	2572496.9	1147096.7	0
"367"	2579600	1125798.4	0
"368"	2579705.7	1139600.7	0
"369"	2579000	1125099.2	0
"370"	2580000.6	1125598.8	0
"371"	2569772.6	1134297.1	0
"372"	2579899.2	1125101.4	0
"373"	2567204.4	1135794.2	1
"374"	2577599.3	1125597.3	0
"375"	2571084.2	1137391.69999999	0
"376"	2578503.8	1144203.7	0
"377"	2572500	1118400	0
"378"	2578357.6	1143628.6	0
"379"	2580203	1142698.8	0
"380"	2560976.8	1142847.2	0
"381"	2572987.7	1120285.6	0
"382"	2571600.6	1138301.1	0
"383"	2581701.1	1141200.9	0
"384"	2581299.1	1144899.3	0
"385"	2571003.2	1130794.3	0
"386"	2567504.8	1137198.5	0
"387"	2581099.1	1136598.8	0
"388"	2572001.4	1118302.7	0
"389"	2581701.1	1141098.49999999	0
"390"	2579098.5	1123904.7	0
"391"	2577197.6	1133097	0
"392"	2572402.2	1117799.7	0
"393"	2572102.5	1117100.2	0
"394"	2571597.6	1117099.2	0
"395"	2577301.6	1122003.7	1
"396"	2577301.8	1122199	1
"397"	2578998	1123800.3	0
"398"	2578898.3	1123699.5	0
"399"	2563606.7	1140403	0
"400"	2572402.1	1117700.7	0
"401"	2579000.2	1136502.1	0
"402"	2572300.2	1117997	0
"403"	2572403.8	1118198.8	0
"404"	2577103.5	1121999.19999999	0
"405"	2575696	1122696	0
"406"	2579599.8	1127302.9	0
"407"	2579601.4	1127499.5	0
"408"	2573712.5	1120867.6	0
"409"	2577500	1126700	0
"410"	2579502.8	1127600	0
"411"	2580802.5	1142999.3	0
"412"	2582499.4	1131896.3	0
"413"	2576801.1	1121397.6	0
"414"	2582601.9	1131597	0
"415"	2571998.7	1119600.6	0
"416"	2581401.6	1145079.7	0
"417"	2577197.4	1151400.4	0
"418"	2573303.3	1146902.1	0
"419"	2578708.6	1128800.1	0
"420"	2577601.9	1137196.5	0
"421"	2579728.7	1124201.3	0
"422"	2572099.8	1118101.7	0
"423"	2580198.6	1124398.4	0
"424"	2577204.8	1149998.7	1
"425"	2561305.9	1142601.2	0
"426"	2580121.1	1124212.8	0
"427"	2577598.6	1136899.7	0
"428"	2571602.3	1118200.9	0
"429"	2581700.8	1147601.3	0
"431"	2578901.3	1127899.8	0
"432"	2580700.2	1126000.6	0
"433"	2569001.5	1124401.1	0
"434"	2566600	1134402	0
"435"	2578800.8	1128301.4	0
"436"	2582900	1131200	0
"437"	2582798.9	1131200.4	0
"438"	2578801.6	1128500.6	0
"439"	2572101.9	1116902.5	0
"440"	2578699.8	1128500.5	0
"441"	2571900.3	1117895.8	0
"442"	2581610.7	1147395.8	0
"443"	2578101.4	1122995.5	0
"444"	2579802.4	1128600.2	0
"445"	2579002	1127899.7	0
"446"	2571799.3	1117099.9	0
"447"	2579501.8	1124097	0
"448"	2579400.6	1128199.1	0
"449"	2577098.6	1151397	0
"450"	2579501.3	1128201.2	0
"451"	2579852.5	1124154.4	0
"452"	2571600.8	1117394.3	0
"453"	2582301.3	1131100.7	0
"454"	2579999.7	1128699.3	0
"455"	2571697	1117498.5	0
"456"	2578799.4	1128401.5	0
"457"	2572099	1117900.4	1
"458"	2575301.5	1143399.1	0
"459"	2580099.4	1128697.9	0
"460"	2571703.9	1116898.8	0
"461"	2579400.3	1127799.3	1
"462"	2582101.1	1130491	0
"463"	2579400.4	1128498.4	0
"464"	2582974.9	1130998.9	0
"465"	2571797.9	1134653.8	0
"466"	2571600	1116800	0
"467"	2576700	1120900	0
"468"	2578002.1	1122999.6	0
"469"	2571599.6	1117001.2	0
"470"	2571999.9	1118900.2	0
"471"	2572599.1	1146802.1	0
"472"	2577997.6	1123103.8	0
"473"	2581899.6	1130397.8	0
"475"	2571499.4	1117200.6	0
"476"	2579602.3	1127994.2	0
"477"	2571708.7	1117300.1	0
"478"	2572705.1	1134195.4	0
"479"	2571799.5	1117699.5	0
"480"	2574750	1146348.6	0
"481"	2570900	1135200	0
"482"	2570709.9	1122288.1	0
"483"	2560737.6	1143528.2	0
"484"	2560901	1142299.9	0
"486"	2581883.4	1130635.3	0
"487"	2572004.8	1148103.8	0
"488"	2580596.6	1133307	0
"489"	2579103.4	1152501.4	0
"490"	2572196.4	1137698.4	0
"491"	2580599.5	1126794.6	0
"492"	2581100.4	1154798.8	0
"493"	2579503.2	1125604.8	0
"494"	2581097	1154305.9	0
"495"	2580602.7	1125896.4	0
"496"	2571498.3	1135601.9	0
"497"	2567400	1136200	0
"498"	2574702.8	1143702	0
"499"	2581199.1	1154799.7	0
"500"	2556700.3	1149126.1	0
"501"	2566906.4	1128404.5	0
"502"	2580390.8	1131206.1	0
"503"	2580497.4	1131200.7	0
"504"	2568200.2	1139899.8	0
"505"	2568000.3	1127999.3	0
"506"	2571600.3	1117598.4	0
"507"	2570099.3	1141295.4	0
"508"	2576799.8	1121598.6	0
"509"	2571399.4	1141299.9	0
"510"	2570000	1124100	0
"511"	2567302	1142705.6	0
"512"	2567598.2	1141003.6	0
"513"	2576501.3	1144798.90000001	0
"514"	2565990.8	1142202.1	0
"515"	2577904.8	1141703.9	0
"516"	2573801.8	1144002.7	0
"517"	2569696.8	1142495.1	0
"518"	2580805.96	1127042.88	0
"519"	2580747.05	1126947.96	0
"520"	2579493.24	1127048.15	0
"521"	2580243.28	1127611.51	0
"522"	2580259.37	1127455.27	0
"523"	2580202.34	1127087.23	0
"524"	2579149.56	1126813.48	0
"525"	2578564.43	1123658.45	0
"526"	2580244	1127614	0
"527"	2579125.98	1124114.63	0
"528"	2578588	1123645.8	0
"529"	2579132.85	1124078.65	0
"530"	2579228.68	1124056.79	0
"531"	2579221	1123601	0
"532"	2578616.29	1123647.95	0
"533"	2579287	1123540	0
"534"	2579146	1123696	0
"535"	2578454.92	1127133.81	0
"536"	2578503.27	1127285.06	0
"537"	2578439.11	1127104.02	0
"538"	2578480.98	1127199.27	0
"539"	2576498	1125302	0
"540"	2577231	1125337	0
"541"	2577095	1125563	1
"542"	2577002	1125737.1	0
"543"	2576486	1125157	0
"544"	2577191	1125438	0
"545"	2580384	1126010	0
"546"	2580205	1125430	0
"547"	2580713	1126950	0
"548"	2580735	1126895	0
"549"	2580700	1127022	0
"550"	2580692	1127093	0
"551"	2581187.6	1126615.4	0
"552"	2579979.6	1125113.6	0
"553"	2579975.2	1125451.3	0
"554"	2579320.9	1125692.3	0
"555"	2579713.3	1126380.6	0
"556"	2577953.2	1126367.3	0
"557"	2579850.8	1126387.2	0
"558"	2580320.4	1126280	0
"559"	2579099.5	1126315.5	0
"560"	2579874	1125137.7	0
"561"	2579966.4	1126392.9	0
"562"	2578659	1125442.1	0
"563"	2579856.2	1126390.9	0
"564"	2579864.5	1125055.5	0
"565"	2579059.7	1125383.8	0
"566"	2577877	1126293.4	0
"567"	2580710.1	1126347	0
"568"	2579022.2	1126207.6	0
"569"	2580670.9	1126348.4	0
"570"	2580291.9	1125169.4	0
"571"	2579896.4	1125666.59999999	0
"572"	2578925.1	1125419.7	0
"573"	2579842.5	1125477.5	0
"574"	2578146.2	1125630.2	0
"575"	2580927.4	1126331	0
"576"	2579903.3	1124812.2	0
"577"	2580380.3	1126279.7	0
"578"	2578957.5	1126397.4	0
"579"	2577967.5	1125936.5	0
"580"	2580183.1	1124903.7	0
"581"	2579939.7	1124680.7	0
"582"	2577861.3	1127677.7	0
"583"	2577374	1127611	0
"584"	2577798.1	1127536.69999999	0
"585"	2577392.7	1127634.3	0
"586"	2578063.4	1127605.7	0
"587"	2578985.3	1124216	1
"588"	2578728.3	1124055.2	0
"589"	2578614.6	1123558.7	0
"590"	2579043.7	1123564.4	0
"591"	2578505.7	1123280.5	0
"592"	2578934.8	1124240.5	0
"593"	2578770	1123460.6	0
"594"	2579168.8	1123873.3	0
"595"	2578471.7	1123242.4	0
"596"	2579483.8	1124505.5	0
"597"	2578929.5	1123692.1	0
"598"	2578943.4	1123708	0
"599"	2578823.6	1123767.3	0
"600"	2579126.8	1123814.8	0
"601"	2578708.3	1123582.4	0
"602"	2578960.9	1123707.6	0
"603"	2578822.7	1123633.4	0
"604"	2579011	1123774.2	0
"605"	2577851.4	1127738.3	0
"606"	2577859.5	1122982.6	0
"607"	2578015.3	1123007	0
"608"	2578125.7	1123079.8	0
"609"	2579205.6	1125078.1	0
"610"	2578037.6	1126409	0
"611"	2578004.2	1125329.5	0
"612"	2579206.9	1125090.7	0
"613"	2578626.6	1127191.4	0
"614"	2574267	1145242	0
"615"	2574875	1145400	0
"616"	2576247.8	1146647.9	0
"617"	2575126.3	1146214.1	0
"618"	2558686	1150495	0
"619"	2570650	1145879	0
"620"	2572576	1145799	0
"621"	2583827	1148921	0
"622"	2559682	1150847	0
"623"	2561167	1150231	0
"624"	2558221.8	1151780	0
"625"	2556686	1150643	0
"626"	2569928.4	1146296.5	0
"627"	2570001.6	1133874.5	0
"628"	2562926.6	1133269.6	0
"629"	2575375.2	1146699.9	0
"630"	2580123.9	1147775.7	0
"631"	2559406	1146677	0
"632"	2568463	1126715	0
"633"	2571942.6	1146126.3	0
"634"	2569199	1121372	0
"635"	2574873	1144698	0
"636"	2560411	1145333	0
"637"	2570169	1146010	0
"638"	2580304.8	1147078.7	0
"639"	2569795	1133252	0
"640"	2570196	1133321.4	0
"641"	2570227	1145645.5	0
"642"	2570267.8	1134005.8	0
"643"	2569380.1	1133056.7	0
"644"	2571280.1	1145674.6	0
"645"	2578843.4	1146951	0
"646"	2568568.2	1132126.2	0
"647"	2578147	1147106	0
"648"	2567443	1128795	0
"649"	2559038	1146684	0
"650"	2570749.6	1146998.7	0
"651"	2571199.4	1133859.4	0
"652"	2573297	1122712	0
"653"	2568421.6	1142839.2	0
"654"	2578231.9	1145586.8	0
"655"	2578798	1132072	0
"656"	2560161	1149271	0
"657"	2572682	1125042	0
"658"	2572983	1133784	0
"659"	2561319	1149776	0
"660"	2576651.2	1141850.9	0
"661"	2568125.1	1143349.9	0
"662"	2574025.1	1144176.6	0
"663"	2559727	1148105	0
"664"	2578077	1132564	0
"665"	2576116.2	1134222	0
"666"	2570883.7	1134940.3	0
"667"	2580876.9	1148496.6	0
"668"	2580549	1148399.8	0
"669"	2569848	1128505	0
"670"	2573345	1146625.1	0
"671"	2572997	1122670	0
"672"	2579233.8	1146350.4	0
"673"	2561307	1146819	0
"674"	2559050	1148603	0
"675"	2567680	1143736	0
"676"	2575479	1144757	0
"677"	2577175.1	1141324.5	0
"678"	2568019	1143052	0
"679"	2576905.09	1148900	0
"680"	2561475.5	1144725.5	0
"681"	2569719.2	1144953.4	0
"682"	2584904	1150074	0
"683"	2574649.8	1146625	0
"684"	2573924.6	1146424.8	0
"685"	2573300	1134528	0
"686"	2577525	1148750	0
"687"	2572100	1134650	0
"688"	2562009	1145236	0
"689"	2570871	1147205	0
"690"	2567446	1138626.5	0
"691"	2573769.5	1138667.8	0
"692"	2566360.4	1138988.8	0
"693"	2574024.6	1140198.9	0
"694"	2581075.5	1153701.3	0
"695"	2583099	1147049	0
"696"	2562151.1	1148075.6	0
"697"	2570469.3	1140698.1	0
"698"	2581123.8	1146675.1	0
"699"	2572858.6	1140980	0
"700"	2566924.1	1139722.5	0
"701"	2576273.4	1144700.4	0
"702"	2569700.8	1144348.4	0
"703"	2564749.3	1136624.1	0
"704"	2573001.4	1137035	0
"705"	2572297.5	1126446.6	0
"706"	2572950	1134925	0
"707"	2570286.3	1136049.6	0
"708"	2562625.6	1146899.8	0
"709"	2570071.3	1142094.2	0
"710"	2573572.4	1136995.4	0
"711"	2578303.6	1148842.6	0
"712"	2566303.8	1138452.4	0
"713"	2568688	1129132	0
"714"	2570875	1121803	0
"715"	2572540.2	1144902.1	0
"716"	2572073	1144176	0
"717"	2563219	1146338	0
"718"	2563896.2	1147901	0
"719"	2574641	1148142.9	0
"720"	2569802.4	1136268.6	0
"721"	2583275	1149575	0
"722"	2565190.7	1134912.8	0
"723"	2578799.6	1151400.5	0
"724"	2579785.7	1145240.6	0
"725"	2576027.9	1148852.9	0
"726"	2570195	1140281	0
"727"	2565411	1134801	0
"728"	2574339	1120265	0
"729"	2581476.3	1153775.8	0
"730"	2570945.2	1139458.6	0
"731"	2572430.5	1131193.9	0
"732"	2579300	1143526	0
"733"	2569751	1137849.8	0
"734"	2573425.2	1142275.1	0
"735"	2584276	1152723	0
"736"	2565004	1143462	0
"737"	2583994	1152783	0
"738"	2573600	1124274.2	0
"739"	2583540	1146251	0
"740"	2566926.9	1138078.1	0
"741"	2579525	1140325	0
"742"	2570972	1121569	0
"743"	2572492.6	1137664	0
"744"	2576317	1139872.7	0
"745"	2581297	1134228	0
"746"	2571125	1136374.6	0
"747"	2583649.2	1151723.5	0
"748"	2575697	1135312	0
"749"	2570375.4	1121675.1	0
"750"	2575927.9	1128449.8	0
"751"	2576497	1123186	0
"752"	2581156.7	1152529.2	0
"753"	2583550	1151349	0
"754"	2564950	1143883	0
"755"	2573652.6	1132433.2	0
"756"	2577761.1	1138756.1	0
"757"	2563673	1134679	0
"758"	2579861	1153041	0
"759"	2578979.2	1144077.2	0
"760"	2584775.4	1154399.4	0
"761"	2581077.6	1151499	0
"762"	2579424.7	1152150.3	0
"763"	2571150.1	1129625	0
"764"	2574725	1121175.5	0
"765"	2571275.3	1120623	0
"766"	2578764	1151606	0
"767"	2571291.3	1119649.5	0
"768"	2573894	1118674	0
