"x"	"y"	"resp"
"P0016_BA_130829"	2566900.2	1135795.4	1
"P0020_BA_130828"	2578799.6	1123597.1	1
"P0022_BA_130818"	2568600.9	1124901.6	0
"P0027_BA_130721"	2565500	1137700	0
"P0049_BA_130805"	2571898.6	1118200.1	1
"P0058_BA_130726"	2574603.9	1122198.4	0
"P0071_BA_130829"	2557682.6	1150423.3	0
"P0094_BA_130714"	2580097.2	1136400.3	0
"P0100_BA_130713"	2576304.5	1132905.7	0
"P0105_BA_130726"	2575297.1	1136296.7	0
"P0109_BA_130723"	2575005.8	1122110.3	0
"P0111_BA_130721"	2576598	1138495.7	0
"P0128_BA_130727"	2578699.1	1136499.2	0
"P0134_BA_130727"	2578405.1	1136698.7	0
"P0145_BA_130714"	2579595.4	1135895.9	0
"P0151_BA_130727"	2578507.5	1136296	0
"P0152_BA_130727"	2578508.1	1136447.7	0
"P0164_BA_130731"	2556725.4	1149799.5	0
"P0174_BA_130721"	2576392.2	1136900	0
"P0187_BA_130820"	2578801.4	1145697	0
"P0192_BA_130829"	2555900.3	1148998.7	0
"P0197_BA_130723"	2576073.9	1122944.4	0
"P0214_BA_130721"	2575305	1138001.9	0
"P0216_BA_130802"	2567494	1129402.2	0
"P0228_BA_130712"	2575000.6	1145775	0
"P0239_BA_130820"	2577501.2	1145595	0
"P0241_BA_130707"	2575796	1129984.7	0
"P0250_BA_130806"	2569921	1133567.9	0
"P0252_BA_130901"	2566766.3	1121184	0
"P0253_BA_130707"	2576399.9	1128498.4	0
"P0255_BA_130720"	2575600.6	1138700.5	0
"P0263_BA_130812"	2567586.4	1119886.5	0
"P0265_BA_130901"	2567203.5	1121302.3	0
"P0269_BA_130901"	2568299.9	1121200.1	0
"P0270_BA_130901"	2568600.9	1119913.3	0
"P0271_BA_130707"	2575301.1	1128999.3	0
"P0274_BA_130722"	2577799.6	1126297.00000001	0
"P0277_BA_130812"	2568299.9	1119696.4	0
"P0279_BA_130812"	2567499.3	1119298.9	0
"P0284_BA_130812"	2567795.9	1120798.4	0
"P0285_BA_130812"	2566799.5	1120794.1	0
"P0298_BA_130726"	2575603.4	1122200.8	1
"P0299_BA_130812"	2566898.4	1128704.9	0
"P0302_BA_130726"	2575801.8	1122501.7	1
"P0304_BA_130726"	2574998.5	1121895.7	0
"P0305_BA_130822"	2559403.6	1144804.3	0
"P0306_BA_130822"	2558901.4	1144999.9	0
"P0308_BA_130822"	2558901.9	1145301.7	0
"P0309_BA_130822"	2559400.1	1144600.6	0
"P0310_BA_130719"	2559298.5	1146098.9	0
"P0315_BA_130719"	2559399.1	1146299.4	0
"P0336_BA_130711"	2567797.4	1136197.1	1
"P0337_BA_130711"	2567699.5	1135898.8	0
"P0356_BA_130714"	2579600.8	1135998.8	0
"P0364_BA_130714"	2581600.9	1135899.4	0
"P0373_BA_130829"	2567204.4	1135794.2	0
"P0388_BA_130805"	2572001.4	1118302.7	0
"P0391_BA_130713"	2577197.6	1133097	0
"P0393_BA_130805"	2572102.5	1117100.2	1
"P0394_BA_130805"	2571597.6	1117099.2	1
"P0405_BA_130723"	2575696	1122696	0
"P0437_BA_130811"	2582798.9	1131200.4	0
"P0441_BA_130805"	2571900.3	1117895.8	0
"P0462_BA_130818"	2582101.1	1130491	0
"P0465_BA_130710"	2571797.9	1134653.8	0
"P0475_BA_130805"	2571499.4	1117200.6	1
"P0479_BA_130805"	2571799.5	1117699.5	1
"P0486_BA_130728"	2581883.4	1130635.3	1
"P0496_BA_130720"	2571498.3	1135601.9	0
"P0497_BA_130829"	2567400	1136200	0
"P0504_BA_130706"	2568200.2	1139899.8	0
"P0506_BA_130805"	2571600.3	1117598.4	1
"P0509_BA_130715"	2571399.4	1141299.9	0
"P0548_BA_130707"	2580735	1126895	1
"P0556_BA_130722"	2577953.2	1126367.3	0
"P0561_BA_130707"	2579966.4	1126392.9	0
"P0562_BA_130722"	2578659	1125442.1	0
"P0566_BA_130722"	2577877	1126293.4	0
