"x"	"y"	"resp"
"P0016_FU_130829"	2566900.2	1135795.4	0
"P0020_FU_130828"	2578799.6	1123597.1	0
"P0022_FU_130818"	2568600.9	1124901.6	0
"P0027_FU_130721"	2565500	1137700	0
"P0049_FU_130805"	2571898.6	1118200.1	0
"P0058_FU_130726"	2574603.9	1122198.4	0
"P0071_FU_130829"	2557682.6	1150423.3	0
"P0094_FU_130714"	2580097.2	1136400.3	0
"P0100_FU_130713"	2576304.5	1132905.7	0
"P0105_FU_130726"	2575297.1	1136296.7	0
"P0109_FU_130723"	2575005.8	1122110.3	0
"P0111_FU_130721"	2576598	1138495.7	0
"P0128_FU_130727"	2578699.1	1136499.2	0
"P0134_FU_130727"	2578405.1	1136698.7	0
"P0145_FU_130714"	2579595.4	1135895.9	0
"P0151_FU_130727"	2578507.5	1136296	0
"P0152_FU_130727"	2578508.1	1136447.7	0
"P0164_FU_130731"	2556725.4	1149799.5	0
"P0174_FU_130721"	2576392.2	1136900	0
"P0197_FU_130723"	2576073.9	1122944.4	0
"P0214_FU_130721"	2575305	1138001.9	0
"P0216_FU_130802"	2567494	1129402.2	0
"P0241_FU_130707"	2575796	1129984.7	0
"P0250_FU_130806"	2569921	1133567.9	0
"P0252_FU_130901"	2566766.3	1121184	0
"P0255_FU_130720"	2575600.6	1138700.5	0
"P0263_FU_130812"	2567586.4	1119886.5	0
"P0265_FU_130901"	2567203.5	1121302.3	0
"P0269_FU_130901"	2568299.9	1121200.1	0
"P0270_FU_130901"	2568600.9	1119913.3	0
"P0271_FU_130707"	2575301.1	1128999.3	0
"P0274_FU_130722"	2577799.6	1126297.00000001	0
"P0277_FU_130812"	2568299.9	1119696.4	0
"P0279_FU_130812"	2567499.3	1119298.9	0
"P0284_FU_130812"	2567795.9	1120798.4	0
"P0285_FU_130812"	2566799.5	1120794.1	0
"P0299_FU_130812"	2566898.4	1128704.9	0
"P0302_FU_130726"	2575801.8	1122501.7	1
"P0304_FU_130726"	2574998.5	1121895.7	0
"P0305_FU_130822"	2559403.6	1144804.3	0
"P0308_FU_130822"	2558901.9	1145301.7	0
"P0310_FU_130719"	2559298.5	1146098.9	0
