"x"	"y"	"resp"
"P0016_PR_130829"	2566900.2	1135795.4	0
"P0020_PR_130828"	2578799.6	1123597.1	0
"P0022_PR_130818"	2568600.9	1124901.6	1
"P0027_PR_130721"	2565500	1137700	1
"P0049_PR_130805"	2571898.6	1118200.1	1
"P0058_PR_130726"	2574603.9	1122198.4	1
"P0071_PR_130829"	2557682.6	1150423.3	1
"P0094_PR_130714"	2580097.2	1136400.3	1
"P0100_PR_130713"	2576304.5	1132905.7	1
"P0105_PR_130726"	2575297.1	1136296.7	0
"P0109_PR_130723"	2575005.8	1122110.3	1
"P0111_PR_130721"	2576598	1138495.7	1
"P0128_PR_130727"	2578699.1	1136499.2	1
"P0134_PR_130727"	2578405.1	1136698.7	1
"P0145_PR_130714"	2579595.4	1135895.9	1
"P0152_PR_130727"	2578508.1	1136447.7	1
"P0164_PR_130731"	2556725.4	1149799.5	1
"P0174_PR_130721"	2576392.2	1136900	1
"P0187_PR_130820"	2578801.4	1145697	0
"P0192_PR_130829"	2555900.3	1148998.7	0
"P0197_PR_130723"	2576073.9	1122944.4	1
"P0214_PR_130721"	2575305	1138001.9	1
"P0216_PR_130802"	2567494	1129402.2	1
"P0228_PR_130712"	2575000.6	1145775	0
"P0239_PR_130820"	2577501.2	1145595	1
"P0241_PR_130707"	2575796	1129984.7	0
"P0250_PR_130806"	2569921	1133567.9	0
"P0252_PR_130901"	2566766.3	1121184	1
"P0253_PR_130707"	2576399.9	1128498.4	1
"P0255_PR_130720"	2575600.6	1138700.5	1
"P0263_PR_130812"	2567586.4	1119886.5	1
"P0269_PR_130901"	2568299.9	1121200.1	0
"P0270_PR_130901"	2568600.9	1119913.3	0
"P0271_PR_130707"	2575301.1	1128999.3	1
"P0274_PR_130722"	2577799.6	1126297.00000001	0
"P0277_PR_130812"	2568299.9	1119696.4	0
"P0279_PR_130812"	2567499.3	1119298.9	0
"P0284_PR_130812"	2567795.9	1120798.4	1
"P0285_PR_130812"	2566799.5	1120794.1	1
"P0298_PR_130726"	2575603.4	1122200.8	0
"P0302_PR_130726"	2575801.8	1122501.7	0
"P0304_PR_130726"	2574998.5	1121895.7	1
"P0305_PR_130822"	2559403.6	1144804.3	0
"P0308_PR_130822"	2558901.9	1145301.7	0
"P0310_PR_130719"	2559298.5	1146098.9	1
"P0315_PR_130719"	2559399.1	1146299.4	1
"P0336_PR_130711"	2567797.4	1136197.1	1
"P0337_PR_130711"	2567699.5	1135898.8	0
"P0364_PR_130714"	2581600.9	1135899.4	1
"P0373_PR_130829"	2567204.4	1135794.2	0
"P0388_PR_130805"	2572001.4	1118302.7	0
"P0391_PR_130713"	2577197.6	1133097	1
"P0393_PR_130805"	2572102.5	1117100.2	0
"P0394_PR_130805"	2571597.6	1117099.2	0
"P0405_PR_130723"	2575696	1122696	1
"P0437_PR_130811"	2582798.9	1131200.4	0
"P0441_PR_130805"	2571900.3	1117895.8	1
"P0462_PR_130818"	2582101.1	1130491	0
"P0465_PR_130710"	2571797.9	1134653.8	0
"P0475_PR_130805"	2571499.4	1117200.6	0
"P0479_PR_130805"	2571799.5	1117699.5	0
"P0486_PR_130728"	2581883.4	1130635.3	1
"P0496_PR_130720"	2571498.3	1135601.9	1
"P0497_PR_130829"	2567400	1136200	1
"P0504_PR_130706"	2568200.2	1139899.8	0
"P0506_PR_130805"	2571600.3	1117598.4	0
"P0509_PR_130715"	2571399.4	1141299.9	1
"P0548_PR_130707"	2580735	1126895	1
"P0556_PR_130722"	2577953.2	1126367.3	1
"P0562_PR_130722"	2578659	1125442.1	1
"P0566_PR_130722"	2577877	1126293.4	1
"P0572_PR_130722"	2578925.1	1125419.7	0
"P0575_PR_130707"	2580927.4	1126331	0
"P0588_PR_130828"	2578728.3	1124055.2	0
"P0589_PR_130828"	2578614.6	1123558.7	0
"P0593_PR_130828"	2578770	1123460.6	0
"P0597_PR_130828"	2578929.5	1123692.1	0
